benchmark,site_pct_pass_bb,cls,design_id,pdb,n_pass,n_seq,clash_ok
M0058_1cju,5.0,pass,rfflow_fixed-ligand_run_M0058_1cju_cond4_45-atomized-bb-True,run_M0058_1cju_cond4_45-atomized-bb-True.pdb,1,40,True
M0058_1cju,5.0,pass,rfflow_fixed-ligand_run_M0058_1cju_cond4_76-atomized-bb-True,run_M0058_1cju_cond4_76-atomized-bb-True.pdb,1,40,True
M0058_1cju,5.0,pass,rfflow_fixed-ligand_run_M0058_1cju_cond4_90-atomized-bb-True,run_M0058_1cju_cond4_90-atomized-bb-True.pdb,1,40,True
M0058_1cju,5.0,pass,rfflow_fixed-ligand_run_M0058_1cju_cond4_16-atomized-bb-True,run_M0058_1cju_cond4_16-atomized-bb-True.pdb,2,40,True
M0058_1cju,5.0,pass,rfflow_fixed-ligand_run_M0058_1cju_cond4_97-atomized-bb-True,run_M0058_1cju_cond4_97-atomized-bb-True.pdb,12,40,True
M0058_1cju,5.0,fail,rfflow_fixed-ligand_run_M0058_1cju_cond4_10-atomized-bb-True,run_M0058_1cju_cond4_10-atomized-bb-True.pdb,0,40,True
M0058_1cju,5.0,fail,rfflow_fixed-ligand_run_M0058_1cju_cond4_24-atomized-bb-True,run_M0058_1cju_cond4_24-atomized-bb-True.pdb,0,40,True
M0058_1cju,5.0,fail,rfflow_fixed-ligand_run_M0058_1cju_cond4_77-atomized-bb-True,run_M0058_1cju_cond4_77-atomized-bb-True.pdb,0,40,True
M0058_1cju,5.0,fail,rfflow_fixed-ligand_run_M0058_1cju_cond4_54-atomized-bb-True,run_M0058_1cju_cond4_54-atomized-bb-True.pdb,0,40,True
M0058_1cju,5.0,fail,rfflow_fixed-ligand_run_M0058_1cju_cond4_60-atomized-bb-True,run_M0058_1cju_cond4_60-atomized-bb-True.pdb,0,40,True
M0255_1mg5,23.0,pass,rfflow_fixed-ligand_run_M0255_1mg5_cond17_37-atomized-bb-True,run_M0255_1mg5_cond17_37-atomized-bb-True.pdb,1,40,True
M0255_1mg5,23.0,pass,rfflow_fixed-ligand_run_M0255_1mg5_cond17_66-atomized-bb-True,run_M0255_1mg5_cond17_66-atomized-bb-True.pdb,2,40,True
M0255_1mg5,23.0,pass,rfflow_fixed-ligand_run_M0255_1mg5_cond17_46-atomized-bb-True,run_M0255_1mg5_cond17_46-atomized-bb-True.pdb,3,40,True
M0255_1mg5,23.0,pass,rfflow_fixed-ligand_run_M0255_1mg5_cond17_27-atomized-bb-True,run_M0255_1mg5_cond17_27-atomized-bb-True.pdb,7,40,True
M0255_1mg5,23.0,pass,rfflow_fixed-ligand_run_M0255_1mg5_cond17_44-atomized-bb-True,run_M0255_1mg5_cond17_44-atomized-bb-True.pdb,28,40,True
M0255_1mg5,23.0,fail,rfflow_fixed-ligand_run_M0255_1mg5_cond17_4-atomized-bb-True,run_M0255_1mg5_cond17_4-atomized-bb-True.pdb,0,40,True
M0255_1mg5,23.0,fail,rfflow_fixed-ligand_run_M0255_1mg5_cond17_40-atomized-bb-True,run_M0255_1mg5_cond17_40-atomized-bb-True.pdb,0,40,True
M0255_1mg5,23.0,fail,rfflow_fixed-ligand_run_M0255_1mg5_cond17_7-atomized-bb-True,run_M0255_1mg5_cond17_7-atomized-bb-True.pdb,0,40,True
M0255_1mg5,23.0,fail,rfflow_fixed-ligand_run_M0255_1mg5_cond17_35-atomized-bb-True,run_M0255_1mg5_cond17_35-atomized-bb-True.pdb,0,40,True
M0255_1mg5,23.0,fail,rfflow_fixed-ligand_run_M0255_1mg5_cond17_43-atomized-bb-True,run_M0255_1mg5_cond17_43-atomized-bb-True.pdb,0,40,True
M0664_2dhn,84.0,pass,rfflow_fixed-ligand_run_M0664_2dhn_cond29_1-atomized-bb-True,run_M0664_2dhn_cond29_1-atomized-bb-True.pdb,1,40,True
M0664_2dhn,84.0,pass,rfflow_fixed-ligand_run_M0664_2dhn_cond29_90-atomized-bb-True,run_M0664_2dhn_cond29_90-atomized-bb-True.pdb,5,40,True
M0664_2dhn,84.0,pass,rfflow_fixed-ligand_run_M0664_2dhn_cond29_35-atomized-bb-True,run_M0664_2dhn_cond29_35-atomized-bb-True.pdb,12,40,True
M0664_2dhn,84.0,pass,rfflow_fixed-ligand_run_M0664_2dhn_cond29_7-atomized-bb-True,run_M0664_2dhn_cond29_7-atomized-bb-True.pdb,23,40,True
M0664_2dhn,84.0,pass,rfflow_fixed-ligand_run_M0664_2dhn_cond29_29-atomized-bb-True,run_M0664_2dhn_cond29_29-atomized-bb-True.pdb,40,40,True
M0664_2dhn,84.0,fail,rfflow_fixed-ligand_run_M0664_2dhn_cond29_6-atomized-bb-True,run_M0664_2dhn_cond29_6-atomized-bb-True.pdb,0,40,True
M0664_2dhn,84.0,fail,rfflow_fixed-ligand_run_M0664_2dhn_cond29_55-atomized-bb-True,run_M0664_2dhn_cond29_55-atomized-bb-True.pdb,0,40,True
M0664_2dhn,84.0,fail,rfflow_fixed-ligand_run_M0664_2dhn_cond29_40-atomized-bb-True,run_M0664_2dhn_cond29_40-atomized-bb-True.pdb,0,40,True
M0664_2dhn,84.0,fail,rfflow_fixed-ligand_run_M0664_2dhn_cond29_88-atomized-bb-True,run_M0664_2dhn_cond29_88-atomized-bb-True.pdb,0,40,True
M0664_2dhn,84.0,fail,rfflow_fixed-ligand_run_M0664_2dhn_cond29_31-atomized-bb-True,run_M0664_2dhn_cond29_31-atomized-bb-True.pdb,0,40,True
M0157_1qh5,9.0,pass,rfflow_fixed-ligand_run_M0157_1qh5_cond13_35-atomized-bb-True,run_M0157_1qh5_cond13_35-atomized-bb-True.pdb,1,40,True
M0157_1qh5,9.0,pass,rfflow_fixed-ligand_run_M0157_1qh5_cond13_65-atomized-bb-True,run_M0157_1qh5_cond13_65-atomized-bb-True.pdb,1,40,True
M0157_1qh5,9.0,pass,rfflow_fixed-ligand_run_M0157_1qh5_cond13_86-atomized-bb-True,run_M0157_1qh5_cond13_86-atomized-bb-True.pdb,1,40,True
M0157_1qh5,9.0,pass,rfflow_fixed-ligand_run_M0157_1qh5_cond13_94-atomized-bb-True,run_M0157_1qh5_cond13_94-atomized-bb-True.pdb,2,40,True
M0157_1qh5,9.0,pass,rfflow_fixed-ligand_run_M0157_1qh5_cond13_16-atomized-bb-True,run_M0157_1qh5_cond13_16-atomized-bb-True.pdb,4,40,True
M0157_1qh5,9.0,fail,rfflow_fixed-ligand_run_M0157_1qh5_cond13_10-atomized-bb-True,run_M0157_1qh5_cond13_10-atomized-bb-True.pdb,0,40,True
M0157_1qh5,9.0,fail,rfflow_fixed-ligand_run_M0157_1qh5_cond13_22-atomized-bb-True,run_M0157_1qh5_cond13_22-atomized-bb-True.pdb,0,40,True
M0157_1qh5,9.0,fail,rfflow_fixed-ligand_run_M0157_1qh5_cond13_62-atomized-bb-True,run_M0157_1qh5_cond13_62-atomized-bb-True.pdb,0,40,True
M0157_1qh5,9.0,fail,rfflow_fixed-ligand_run_M0157_1qh5_cond13_50-atomized-bb-True,run_M0157_1qh5_cond13_50-atomized-bb-True.pdb,0,40,True
M0157_1qh5,9.0,fail,rfflow_fixed-ligand_run_M0157_1qh5_cond13_76-atomized-bb-True,run_M0157_1qh5_cond13_76-atomized-bb-True.pdb,0,40,True
