benchmark,seq_pass_pct,pct_backbones_0pass
M0024_1nzy,0.025,99.0
M0365_1pfk,0.05,99.0
M0092_1dli,0.075,99.0
M0552_1fgh,0.125,98.0
M0375_4ts9,0.2,99.0
M0731_1mt5,0.25,96.0
M0904_1qgx,0.3,97.0
M0110_1c0p,0.3,94.0
M0050_1dbt,0.325,97.0
M0157_1qh5,0.4,91.0
M0078_1al6,0.4,93.0
M0058_1cju,0.425,95.0
M0040_13pk,0.5,87.0
M0151_1q0n,0.6,92.0
M0732_1xs1,0.75,95.0
M0584_1ldm,0.8,88.0
M0870_1oh9,1.075,92.0
M0093_1dqa,1.2,88.0
M0349_1e3v,1.25,87.0
M0907_1rbl,1.25,93.0
M0179_1q3s,1.775,84.0
M0315_1ey3,2.025,85.0
M0500_1e3i,2.3,86.0
M0054_1qfe,3.525,77.0
M0209_1lij,3.65,64.0
M0255_1mg5,3.775,77.0
M0188_1xel,3.975,75.0
M0129_1os7,4.25,80.0
M0738_1o98,4.625,69.0
M0739_1knp,5.825,71.0
M0711_2esd,6.05,70.0
M0096_1chm,7.875,53.0
M0674_1uf7,8.075,60.0
M0097_1ctt,8.4,55.0
M0555_1f8r,8.45,47.0
M0717_1x7d,12.025,40.0
M0663_1rk2,16.05,63.0
M0636_1uaq,17.675,49.0
M0710_1ra0,18.625,30.0
M0664_2dhn,32.275,16.0
M0630_1j79,57.025,6.0
