benchmark,design_id,pdb,n_pass,n_seq,rescue_target,clash_ok,true_rescue_target
M0024_1nzy,rfflow_fixed-ligand_run_M0024_1nzy_cond0_0-atomized-bb-True,run_M0024_1nzy_cond0_0-atomized-bb-True.pdb,0,40,True,True,True
M0024_1nzy,rfflow_fixed-ligand_run_M0024_1nzy_cond0_1-atomized-bb-True,run_M0024_1nzy_cond0_1-atomized-bb-True.pdb,0,40,True,True,True
M0024_1nzy,rfflow_fixed-ligand_run_M0024_1nzy_cond0_10-atomized-bb-True,run_M0024_1nzy_cond0_10-atomized-bb-True.pdb,0,40,True,True,True
M0024_1nzy,rfflow_fixed-ligand_run_M0024_1nzy_cond0_11-atomized-bb-True,run_M0024_1nzy_cond0_11-atomized-bb-True.pdb,0,40,True,True,True
M0024_1nzy,rfflow_fixed-ligand_run_M0024_1nzy_cond0_12-atomized-bb-True,run_M0024_1nzy_cond0_12-atomized-bb-True.pdb,0,40,True,True,True
M0024_1nzy,rfflow_fixed-ligand_run_M0024_1nzy_cond0_13-atomized-bb-True,run_M0024_1nzy_cond0_13-atomized-bb-True.pdb,0,40,True,True,True
M0024_1nzy,rfflow_fixed-ligand_run_M0024_1nzy_cond0_14-atomized-bb-True,run_M0024_1nzy_cond0_14-atomized-bb-True.pdb,0,40,True,True,True
M0024_1nzy,rfflow_fixed-ligand_run_M0024_1nzy_cond0_15-atomized-bb-True,run_M0024_1nzy_cond0_15-atomized-bb-True.pdb,0,40,True,True,True
M0024_1nzy,rfflow_fixed-ligand_run_M0024_1nzy_cond0_16-atomized-bb-True,run_M0024_1nzy_cond0_16-atomized-bb-True.pdb,0,40,True,True,True
M0024_1nzy,rfflow_fixed-ligand_run_M0024_1nzy_cond0_17-atomized-bb-True,run_M0024_1nzy_cond0_17-atomized-bb-True.pdb,0,40,True,True,True
M0024_1nzy,rfflow_fixed-ligand_run_M0024_1nzy_cond0_18-atomized-bb-True,run_M0024_1nzy_cond0_18-atomized-bb-True.pdb,0,40,True,True,True
M0024_1nzy,rfflow_fixed-ligand_run_M0024_1nzy_cond0_19-atomized-bb-True,run_M0024_1nzy_cond0_19-atomized-bb-True.pdb,0,40,True,True,True
M0024_1nzy,rfflow_fixed-ligand_run_M0024_1nzy_cond0_2-atomized-bb-True,run_M0024_1nzy_cond0_2-atomized-bb-True.pdb,0,40,True,True,True
M0024_1nzy,rfflow_fixed-ligand_run_M0024_1nzy_cond0_20-atomized-bb-True,run_M0024_1nzy_cond0_20-atomized-bb-True.pdb,0,40,True,True,True
M0024_1nzy,rfflow_fixed-ligand_run_M0024_1nzy_cond0_21-atomized-bb-True,run_M0024_1nzy_cond0_21-atomized-bb-True.pdb,0,40,True,True,True
